72
70
71
58
74
76
75
69
45
87
15
0
0
0
0
0
1,,,,,,,46,,,46,,,,,,,,,46,,,46,,
2,,,,,,,63,,,63,,,,,,,,,63,,,63,,
3,,,,,,,61,,,61,,,,,,,,,61,,,61,,
4,,,,,,,48,,,48,,,,,,,,,48,,,48,,
5,,,,,,,34,,,34,,,,,,,,,34,,,34,,
6,,,,,,,49,,,49,,,,,,,,,49,,,49,,
7,,,,,,,50,,,50,,,,,,,,,50,,,50,,
8,30,,,30,,,30,51,,30,51,,30,,,30,,,30,51,,30,51,
9,31,,,,,,31,39,,39,,,31,,,,,,31,39,,39,,
10,101,57,,101,57,,101,52,57,101,52,57,101,57,,101,57,,101,52,57,101,52,57
11,,,,,,,53,,,53,,,,,,,,,53,,,53,,
12,,,,,,,54,,,54,,,,,,,,,54,,,54,,
13,,,,,,,65,,,65,,,,,,,,,65,,,65,,
14,,,,,,,64,,,64,,,,,,,,,64,,,64,,
15,,,,,,,40,,,40,,,,,,,,,40,,,40,,
16,,,,,,,41,,,41,,,,,,,,,41,,,41,,
17,,,,,,,32,,,32,,,,,,,,,32,,,32,,
18,,,,,,,35,,,35,,,,,,,,,35,,,35,,
19,,,,,,,47,,,47,,,,,,,,,47,,,47,,
20,,,,,,,36,,,36,,,,,,,,,36,,,36,,
21,,,,,,,38,,,38,,,,,,,,,38,,,38,,
22,,,,,,,62,,,62,,,,,,,,,62,,,62,,
23,,,,,,,33,,,33,,,,,,,,,33,,,33,,
24,,,,,,,60,,,60,,,,,,,,,60,,,60,,
25,,,,,,,37,,,37,,,,,,,,,37,,,37,,
26,,,,,,,59,,,59,,,,,,,,,59,,,59,,
27,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
32,73,,,73,,,73,,,73,,,73,,,73,,,73,,,73,,
33,,,,18,,,,,,18,,,,,,18,,,,,,18,,
34,,,,56,,,,,,56,,,,,,56,,,,,,56,,
35,,,,20,,,,,,20,,,,,,20,,,,,,20,,
36,,,,21,,,,,,21,,,,,,21,,,,,,21,,
37,,,,22,,,,,,22,,,,,,22,,,,,,22,,
38,,,,24,,,,,,24,,,,,,24,,,,,,24,,
39,56,,,,,,56,,,,,,56,,,,,,56,,,,,
40,,,,26,,,,,,26,,,,,,26,,,,,,26,,
41,,,,27,,,,,,27,,,,,,27,,,,,,27,,
42,89,,,25,89,,89,,,25,89,,89,,,25,89,,89,,,25,89,
43,94,,,29,94,,94,,,29,94,,94,,,29,94,,94,,,29,94,
44,66,,,,,,66,,,,,,66,,,,,,66,,,,,
45,28,90,,90,,,28,90,,90,,,28,90,,90,,,28,90,,90,,
46,67,,,,,,67,,,,,,103,67,,103,,,103,67,,103,,
47,68,88,,88,,,68,88,,88,,,68,88,,88,,,68,88,,88,,
48,27,,,,,,27,,,,,,102,27,,102,,,102,27,,102,,
49,18,,,,,,18,,,,,,18,98,,98,,,18,98,,98,,
50,19,,,,,,19,,,,,,19,99,,99,,,19,99,,99,,
51,20,,,,,,20,,,,,,100,20,,100,,,100,20,,100,,
52,21,,,,,,21,,,,,,21,95,,95,,,21,95,,95,,
53,22,96,,96,,,22,96,,96,,,22,96,,96,,,22,96,,96,,
54,23,,,,,,23,,,,,,23,97,,97,,,23,97,,97,,
55,24,,,,,,24,,,,,,24,91,,91,,,24,91,,91,,
56,25,,,,,,25,,,,,,25,92,,92,,,25,92,,92,,
57,26,,,,,,26,,,,,,26,93,,93,,,26,93,,93,,
58,,,,55,,,,,,55,,,,,,55,,,,,,55,,
59,55,,,,,,55,,,,,,55,,,,,,55,,,,,
60,,,,66,,,,,,66,,,,,,66,,,,,,66,,
61,29,,,,,,29,,,,,,29,,,,,,29,,,,,
62,,,,67,,,,,,67,,,,,,67,,,,,,67,,
63,,,,68,,,,,,68,,,,,,68,,,,,,68,,
64,,,,19,,,,,,19,,,,,,19,,,,,,19,,
65,46,,,46,,,,,,,,,46,,,46,,,,,,,,
66,63,,,63,,,,,,,,,63,,,63,,,,,,,,
67,61,,,61,,,,,,,,,61,,,61,,,,,,,,
68,48,,,48,,,,,,,,,48,,,48,,,,,,,,
69,34,,,34,,,,,,,,,34,,,34,,,,,,,,
70,49,,,49,,,,,,,,,49,,,49,,,,,,,,
71,50,,,50,,,,,,,,,50,,,50,,,,,,,,
72,51,,,51,,,,,,,,,51,,,51,,,,,,,,
73,39,,,39,,,,,,,,,39,,,39,,,,,,,,
74,52,,,52,,,,,,,,,52,,,52,,,,,,,,
75,53,,,53,,,,,,,,,53,,,53,,,,,,,,
76,54,,,54,,,,,,,,,54,,,54,,,,,,,,
77,65,,,65,,,,,,,,,65,,,65,,,,,,,,
78,64,,,64,,,,,,,,,64,,,64,,,,,,,,
79,40,,,40,,,,,,,,,40,,,40,,,,,,,,
80,41,,,41,,,,,,,,,41,,,41,,,,,,,,
81,32,,,32,,,,,,,,,32,,,32,,,,,,,,
82,35,,,35,,,,,,,,,35,,,35,,,,,,,,
83,47,,,47,,,,,,,,,47,,,47,,,,,,,,
84,36,,,36,,,,,,,,,36,,,36,,,,,,,,
85,38,,,38,,,,,,,,,38,,,38,,,,,,,,
86,62,,,62,,,,,,,,,62,,,62,,,,,,,,
87,33,,,33,,,,,,,,,33,,,33,,,,,,,,
88,60,,,60,,,,,,,,,60,,,60,,,,,,,,
89,37,,,37,,,,,,,,,37,,,37,,,,,,,,
90,59,,,59,,,,,,,,,59,,,59,,,,,,,,
91,42,,,,,,42,,,,,,42,,,,,,42,,,,,
92,44,,,,,,44,,,,,,44,,,,,,44,,,,,
93,43,,,,,,43,,,,,,43,,,,,,43,,,,,
94,,,,23,,,,,,23,,,,,,23,,,,,,23,,
95,,,,28,,,,,,28,,,,,,28,,,,,,28,,
96,17,,,,,,17,,,,,,17,,,,,,17,,,,,
97,46,,,46,,,,,,,,,46,,,46,,,,,,,,
98,63,,,63,,,,,,,,,63,,,63,,,,,,,,
99,61,,,61,,,,,,,,,61,,,61,,,,,,,,
100,48,,,48,,,,,,,,,48,,,48,,,,,,,,
101,34,,,34,,,,,,,,,34,,,34,,,,,,,,
102,49,,,49,,,,,,,,,49,,,49,,,,,,,,
103,50,,,50,,,,,,,,,50,,,50,,,,,,,,
104,51,,,51,,,,,,,,,51,,,51,,,,,,,,
105,39,,,39,,,,,,,,,39,,,39,,,,,,,,
106,52,,,52,,,,,,,,,52,,,52,,,,,,,,
107,53,,,53,,,,,,,,,53,,,53,,,,,,,,
108,54,,,54,,,,,,,,,54,,,54,,,,,,,,
109,65,,,65,,,,,,,,,65,,,65,,,,,,,,
110,64,,,64,,,,,,,,,64,,,64,,,,,,,,
111,40,,,40,,,,,,,,,40,,,40,,,,,,,,
112,41,,,41,,,,,,,,,41,,,41,,,,,,,,
113,32,,,32,,,,,,,,,32,,,32,,,,,,,,
114,35,,,35,,,,,,,,,35,,,35,,,,,,,,
115,47,,,47,,,,,,,,,47,,,47,,,,,,,,
116,36,,,36,,,,,,,,,36,,,36,,,,,,,,
117,38,,,38,,,,,,,,,38,,,38,,,,,,,,
118,62,,,62,,,,,,,,,62,,,62,,,,,,,,
119,33,,,33,,,,,,,,,33,,,33,,,,,,,,
120,60,,,60,,,,,,,,,60,,,60,,,,,,,,
121,37,,,37,,,,,,,,,37,,,37,,,,,,,,
122,59,,,59,,,,,,,,,59,,,59,,,,,,,,
123,,,,42,,,,,,42,,,,,,42,,,,,,42,,
124,,,,44,,,,,,44,,,,,,44,,,,,,44,,
125,,,,43,,,,,,43,,,,,,43,,,,,,43,,
126,,,,17,,,,,,17,,,,,,17,,,,,,17,,
127,103,80,,103,,,103,80,,103,,,80,,,,,,80,,,,,
128,83,92,,83,92,,83,92,,83,92,,83,,,83,,,83,,,83,,
129,85,99,,99,,,85,99,,99,,,85,,,,,,85,,,,,
130,84,95,,84,95,,84,95,,84,95,,84,,,84,,,84,,,84,,
131,86,97,,97,,,86,97,,97,,,86,,,,,,86,,,,,
132,102,77,,102,77,,102,77,,102,77,,77,,,77,,,77,,,77,,
134,78,91,,78,91,,78,91,,78,91,,78,,,78,,,78,,,78,,
135,81,98,,81,98,,81,98,,81,98,,81,,,81,,,81,,,81,,
136,79,93,,79,93,,79,93,,79,93,,79,,,79,,,79,,,79,,
137,100,82,,100,82,,100,82,,100,82,,82,,,82,,,82,,,82,,
145,2,,,,,,2,,,,,,2,,,,,,2,,,,,
146,3,,,,,,3,,,,,,3,,,,,,3,,,,,
147,4,,,,,,4,,,,,,4,,,,,,4,,,,,
148,5,,,,,,5,,,,,,5,,,,,,5,,,,,
149,6,,,,,,6,,,,,,6,,,,,,6,,,,,
150,7,,,,,,7,,,,,,7,,,,,,7,,,,,
151,8,,,,,,8,,,,,,8,,,,,,8,,,,,
152,9,,,,,,9,,,,,,9,,,,,,9,,,,,
153,10,,,,,,10,,,,,,10,,,,,,10,,,,,
154,11,,,,,,11,,,,,,11,,,,,,11,,,,,
155,12,,,,,,12,,,,,,12,,,,,,12,,,,,
156,13,,,,,,13,,,,,,13,,,,,,13,,,,,
157,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,
158,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,
159,,,,31,,,,,,31,,,,,,31,,,,,,31,,
160,,,,80,,,,,,80,,,,,,80,,,,,,80,,
161,,,,85,,,,,,85,,,,,,85,,,,,,85,,
163,,,,86,,,,,,86,,,,,,86,,,,,,86,,
209,,,,2,,,,,,2,,,,,,2,,,,,,2,,
210,,,,3,,,,,,3,,,,,,3,,,,,,3,,
211,,,,4,,,,,,4,,,,,,4,,,,,,4,,
212,,,,5,,,,,,5,,,,,,5,,,,,,5,,
213,,,,6,,,,,,6,,,,,,6,,,,,,6,,
214,,,,7,,,,,,7,,,,,,7,,,,,,7,,
215,,,,8,,,,,,8,,,,,,8,,,,,,8,,
216,,,,9,,,,,,9,,,,,,9,,,,,,9,,
217,,,,10,,,,,,10,,,,,,10,,,,,,10,,
218,,,,11,,,,,,11,,,,,,11,,,,,,11,,
219,,,,12,,,,,,12,,,,,,12,,,,,,12,,
220,,,,13,,,,,,13,,,,,,13,,,,,,13,,
